season,date,match_name,result,h_odd,d_odd,a_odd
2020/2021,23 May 2021,Arsenal - Brighton,2:0,1.68,4.22,4.96
2020/2021,23 May 2021,Aston Villa - Chelsea,2:1,6.99,4.92,1.45
2020/2021,23 May 2021,Fulham - Newcastle,0:2,2.49,3.48,2.91
2020/2021,23 May 2021,Leeds - West Brom,3:1,1.55,4.78,5.59
2020/2021,23 May 2021,Leicester - Tottenham,2:4,1.80,4.26,4.14
2020/2021,23 May 2021,Liverpool - Crystal Palace,2:0,1.17,8.76,16.62
2020/2021,23 May 2021,Manchester City - Everton,5:0,1.30,6.23,9.86
2020/2021,23 May 2021,Sheffield Utd - Burnley,1:0,2.84,3.51,2.54
2020/2021,23 May 2021,West Ham - Southampton,3:0,1.79,3.88,4.63
2020/2021,23 May 2021,Wolves - Manchester Utd,1:2,2.37,3.29,3.26
2020/2021,19 May 2021,Burnley - Liverpool,0:3,9.85,6.36,1.29
2020/2021,19 May 2021,West Brom - West Ham,1:3,5.14,4.29,1.65
2020/2021,19 May 2021,Crystal Palace - Arsenal,1:3,5.91,4.13,1.61
2020/2021,19 May 2021,Everton - Wolves,1:0,1.79,3.71,4.85
2020/2021,19 May 2021,Newcastle - Sheffield Utd,1:0,1.85,3.77,4.38
2020/2021,19 May 2021,Tottenham - Aston Villa,1:2,1.62,4.50,5.23
2020/2021,18 May 2021,Chelsea - Leicester,2:1,1.70,3.87,5.39
2020/2021,18 May 2021,Brighton - Manchester City,3:2,7.33,4.70,1.46
2020/2021,18 May 2021,Manchester Utd - Fulham,1:1,1.30,5.92,10.20
2020/2021,18 May 2021,Southampton - Leeds,0:2,2.66,3.84,2.52
2020/2021,16 May 2021,Everton - Sheffield Utd,0:1,1.37,5.18,9.16
2020/2021,16 May 2021,West Brom - Liverpool,1:2,12.30,7.28,1.22
2020/2021,16 May 2021,Tottenham - Wolves,2:0,1.55,4.53,5.95
2020/2021,16 May 2021,Crystal Palace - Aston Villa,3:2,3.14,3.53,2.31
2020/2021,15 May 2021,Brighton - West Ham,1:1,3.55,3.58,2.12
2020/2021,15 May 2021,Southampton - Fulham,3:1,1.88,3.77,4.24
2020/2021,15 May 2021,Burnley - Leeds,0:4,3.54,3.84,2.04
2020/2021,14 May 2021,Newcastle - Manchester City,3:4,8.78,5.87,1.34
2020/2021,13 May 2021,Manchester Utd - Liverpool,2:4,2.80,3.76,2.45
2020/2021,13 May 2021,Aston Villa - Everton,0:0,3.04,3.35,2.47
2020/2021,12 May 2021,Chelsea - Arsenal,0:1,1.95,3.41,4.41
2020/2021,11 May 2021,Southampton - Crystal Palace,3:1,1.89,3.82,4.11
2020/2021,11 May 2021,Manchester Utd - Leicester,1:2,3.74,3.58,2.07
2020/2021,10 May 2021,Fulham - Burnley,0:2,2.24,3.45,3.39
2020/2021,09 May 2021,Arsenal - West Brom,3:1,1.50,4.52,6.75
2020/2021,09 May 2021,West Ham - Everton,0:1,2.15,3.56,3.49
2020/2021,09 May 2021,Aston Villa - Manchester Utd,1:3,4.49,3.99,1.79
2020/2021,09 May 2021,Wolves - Brighton,2:1,3.94,3.34,2.09
2020/2021,08 May 2021,Liverpool - Southampton,2:0,1.31,6.01,9.60
2020/2021,08 May 2021,Manchester City - Chelsea,1:2,2.04,3.39,4.06
2020/2021,08 May 2021,Sheffield Utd - Crystal Palace,0:2,2.98,3.23,2.58
2020/2021,08 May 2021,Leeds - Tottenham,3:1,4.01,3.98,1.88
2020/2021,07 May 2021,Leicester - Newcastle,2:4,1.40,4.93,8.67
2020/2021,03 May 2021,Burnley - West Ham,1:2,3.06,3.56,2.34
2020/2021,03 May 2021,West Brom - Wolves,1:1,2.58,3.14,3.06
2020/2021,02 May 2021,Tottenham - Sheffield Utd,4:0,1.33,5.54,10.00
2020/2021,02 May 2021,Newcastle - Arsenal,0:2,3.81,3.65,2.01
2020/2021,01 May 2021,Everton - Aston Villa,1:2,1.98,3.78,3.81
2020/2021,01 May 2021,Chelsea - Fulham,2:0,1.48,4.26,8.10
2020/2021,01 May 2021,Brighton - Leeds,2:0,2.08,3.54,3.71
2020/2021,01 May 2021,Crystal Palace - Manchester City,0:2,10.03,5.50,1.33
2020/2021,30 Apr 2021,Southampton - Leicester,1:1,4.17,3.82,1.88
2020/2021,26 Apr 2021,Leicester - Crystal Palace,2:1,1.43,4.70,8.15
2020/2021,25 Apr 2021,Aston Villa - West Brom,2:2,2.09,3.51,3.71
2020/2021,25 Apr 2021,Leeds - Manchester Utd,0:0,4.41,3.97,1.81
2020/2021,25 Apr 2021,Wolves - Burnley,0:4,2.35,3.13,3.49
2020/2021,24 Apr 2021,Sheffield Utd - Brighton,1:0,6.38,3.99,1.60
2020/2021,24 Apr 2021,West Ham - Chelsea,0:1,5.25,3.99,1.69
2020/2021,24 Apr 2021,Liverpool - Newcastle,1:1,1.22,7.35,12.76
2020/2021,23 Apr 2021,Arsenal - Everton,0:1,2.04,3.59,3.81
2020/2021,22 Apr 2021,Leicester - West Brom,3:0,1.64,4.00,5.81
2020/2021,21 Apr 2021,Aston Villa - Manchester City,1:2,9.89,5.39,1.34
2020/2021,21 Apr 2021,Tottenham - Southampton,2:1,1.86,3.84,4.27
2020/2021,20 Apr 2021,Chelsea - Brighton,0:0,1.69,3.74,5.84
2020/2021,19 Apr 2021,Leeds - Liverpool,1:1,5.24,4.50,1.62
2020/2021,18 Apr 2021,Manchester Utd - Burnley,3:1,1.37,5.27,8.99
2020/2021,18 Apr 2021,Arsenal - Fulham,1:1,1.85,3.70,4.52
2020/2021,17 Apr 2021,Wolves - Sheffield Utd,1:0,1.79,3.46,5.34
2020/2021,17 Apr 2021,Newcastle - West Ham,3:2,3.46,3.43,2.21
2020/2021,16 Apr 2021,Everton - Tottenham,2:2,3.55,3.49,2.16
2020/2021,12 Apr 2021,Brighton - Everton,0:0,2.15,3.50,3.56
2020/2021,12 Apr 2021,West Brom - Southampton,3:0,3.65,3.62,2.08
2020/2021,11 Apr 2021,Sheffield Utd - Arsenal,0:3,5.65,3.91,1.67
2020/2021,11 Apr 2021,Tottenham - Manchester Utd,1:3,2.97,3.58,2.42
2020/2021,11 Apr 2021,West Ham - Leicester,3:2,3.22,3.28,2.39
2020/2021,11 Apr 2021,Burnley - Newcastle,1:2,2.28,3.36,3.36
2020/2021,10 Apr 2021,Crystal Palace - Chelsea,1:4,7.56,4.26,1.50
